username,title,short_description,budget,category,offers,expiry_date,url,avatar_url_source,avatar_filename_for_web,full_description,requirements
adam_p1,Strona drukarni etykiet samoprzylepnych,"Obecnie jest strona etykiety.org
Stylem podobna do obecnej ilosci stron.
1) nowy design bardziej idacy w styl drukarni
2) ilosc podstron podobna 
3) strona z kalkulatorem online ( na wzor strony labelexpress) modul wyliczajacy mam w excelu 
4)...",Do negocjacji,Strony internetowe,5,Znika za 30 dni,"https://useme.com/pl/jobs/strona-drukarni-etykiet-samoprzylepnych,115657/",https://cdn.useme.com/1.20.6/images/avatar/empty-neutral.svg?v=1.20.6,,"Obecnie jest strona etykiety.org
Stylem podobna do obecnej ilosci stron.
1) nowy design bardziej idacy w styl drukarni
2) ilosc podstron podobna 
3) strona z kalkulatorem online ( na wzor strony labelexpress) modul wyliczajacy mam w excelu 
4) strona w jezyku polskim oraz angielskim i niemieckim
5) zoptymaizowane pod seo
6) jeden stały element - film z intro drukarni
Obecnie jest strona etykiety.org
Stylem podobna do obecnej ilosci stron.
1) nowy design bardziej idacy w styl drukarni
2) ilosc podstron podobna
3) strona z kalkulatorem online ( na wzor strony labelexpress) modul wyliczajacy mam w excelu
4) strona w jezyku polskim oraz angielskim i niemieckim
5) zoptymaizowane pod seo
6) jeden stały element - film z intro drukarni",
Beautiona.pl,Pozyskiwanie Leadów B2B - Handlowiec - branża Beauty,"Zlecę pozyskiwanie leadów/zamówień B2B - rynek polski i zagraniczny.

Firma Silver sp. z o.o. właściciel sklepu z branży uroda - beautiona.pl, poszukuje specjalisty do spraw sprzedaży dla rynku B2B określonej grupy produktów Private Label.

Osoba...",Do negocjacji,Obsługa klienta,0,Znika za 30 dni,"https://useme.com/pl/jobs/pozyskiwanie-leadow-b2b-handlowiec-branza-beauty,115659/",https://cdn.useme.com/1.20.6/images/avatar/empty-neutral.svg?v=1.20.6,,"Zlecę pozyskiwanie leadów/zamówień B2B - rynek polski i zagraniczny.
Firma Silver sp. z o.o. właściciel sklepu z branży uroda - beautiona.pl, poszukuje specjalisty do spraw sprzedaży dla rynku B2B określonej grupy produktów Private Label.
Osoba zatrudniona na tym stanowisku odpowiedzialna będzie za:
nawiązywanie oraz pozyskiwanie klientów polskich i zagranicznych
Z naszej strony oferujemy:
schemat i wytyczne co do grupy docelowej klientów
nienormowany czas pracy- pracujesz kiedy chcesz
praca zdalna
pracę w stabilnej firmie o ugruntowanej pozycji na rynku
wynagrodzenie:
1. pozyskanie hot leada (produkty nasza marka, akcesoria lub produkcja private label)- 100-200 zł
2. pozyskanie klienta na produkty nasza marka, akcesoria - zamówienie za min. 2000 zł netto - 500 zł  
3. pozyskanie klienta na produkcję private label - zamówienie za min. 3000 zł netto - 700 zł 
informacja od Useme: składanie ofert jest możliwe jedynie w przypadku:
- posiadania ważnej legitymacji studenckiej (dla uczniów/studentów do 26 r.ż) 
- potwierdzonego oświadczenia o zatrudnieniu na etat za co najmniej minimalne wynagrodzenie
- posiadanie działalności gospodarczej
Zlecę pozyskiwanie leadów/zamówień B2B - rynek polski i zagraniczny.
Firma Silver sp. z o.o. właściciel sklepu z branży uroda - beautiona.pl, poszukuje specjalisty do spraw sprzedaży dla rynku B2B określonej grupy produktów Private Label.
Osoba zatrudniona na tym stanowisku odpowiedzialna będzie za:
nawiązywanie oraz pozyskiwanie klientów polskich i zagranicznych
Z naszej strony oferujemy:
schemat i wytyczne co do grupy docelowej klientów
nienormowany czas pracy- pracujesz kiedy chcesz
praca zdalna
pracę w stabilnej firmie o ugruntowanej pozycji na rynku
wynagrodzenie:
1. pozyskanie hot leada (produkty nasza marka, akcesoria lub produkcja private label)- 100-200 zł
2. pozyskanie klienta na produkty nasza marka, akcesoria - zamówienie za min. 2000 zł netto - 500 zł
3. pozyskanie klienta na produkcję private label - zamówienie za min. 3000 zł netto - 700 zł
informacja od Useme: składanie ofert jest możliwe jedynie w przypadku:
- posiadania ważnej legitymacji studenckiej (dla uczniów/studentów do 26 r.ż)
- potwierdzonego oświadczenia o zatrudnieniu na etat za co najmniej minimalne wynagrodzenie
- posiadanie działalności gospodarczej",
Beautiona.pl,Marketing Manager (freelance) -Sklep Beauty,"Cześć!



Sklep kosmetyczny Beautiona.pl specjalizuje się w sprzedaży kosmetyków, produktów Beauty, akcesoriów Home and Kitchen.

Aktualnie do naszego zespołu poszukujemy Specjalisty ds rozwoju tego kanału sprzedaży.

Osoba na tym stanowisku...",Do negocjacji,Sprzedaż i obsługa sprzedaży,1,Znika za 30 dni,"https://useme.com/pl/jobs/marketing-manager-freelance-sklep-beauty,115658/",https://cdn.useme.com/1.20.6/images/avatar/empty-neutral.svg?v=1.20.6,,"Cześć!
Sklep kosmetyczny Beautiona.pl specjalizuje się w sprzedaży kosmetyków, produktów Beauty, akcesoriów Home and Kitchen.
Aktualnie do naszego zespołu poszukujemy Specjalisty ds rozwoju tego kanału sprzedaży.
Osoba na tym stanowisku będzie odpowiedzialna za:
- doradztwo przy tworzeniu strategii marki Beautiona i isabellenails
- prowadzenie działań marketing automation
- działania Instagram
- współpraca z Marketplacami
Wymagamy:
doświadczenia na podobnym stanowisku
znajomości języka angielskiego na poziomie komunikatywnym
samodzielności w działaniu i dobrej organizacji pracy własnej
poszukiwanie przewag konkurencyjnych
analiza działań konkurencji i trendów rynkowych
promowanie wybranych produktów kosmetycznych
Oferujemy:
stabilną pracę w firmie z 14 letnią tradycją
samodzielność pracy, możliwość realizowania własnych pomysłów
elastyczne godziny pracy
Prosimy o wycenę miesiąca pracy dla deklarowanej ilości godzin.
Cześć!
Sklep kosmetyczny Beautiona.pl specjalizuje się w sprzedaży kosmetyków, produktów Beauty, akcesoriów Home and Kitchen.
Aktualnie do naszego zespołu poszukujemy Specjalisty ds rozwoju tego kanału sprzedaży.
Osoba na tym stanowisku będzie odpowiedzialna za:
- doradztwo przy tworzeniu strategii marki Beautiona i isabellenails
- prowadzenie działań marketing automation
- działania Instagram
- współpraca z Marketplacami
Wymagamy:
doświadczenia na podobnym stanowisku
znajomości języka angielskiego na poziomie komunikatywnym
samodzielności w działaniu i dobrej organizacji pracy własnej
poszukiwanie przewag konkurencyjnych
analiza działań konkurencji i trendów rynkowych
promowanie wybranych produktów kosmetycznych
Oferujemy:
stabilną pracę w firmie z 14 letnią tradycją
samodzielność pracy, możliwość realizowania własnych pomysłów
elastyczne godziny pracy
Prosimy o wycenę miesiąca pracy dla deklarowanej ilości godzin.",
Dominika,"Grafika- dwie rózne plus zmiany ujęcia i kolorów jednego detalu, łącznie 40 grafik","Dzień dobry,
potrzebne grafiki dla odpływu łazienkowego , ujęcie na którym widać fragment łazienki z widoczną przestrzenią prysznicową i weeksponowanym odpływem liniowym (odpływ liniowy osadzony przy samej ścianie) oraz zbliżenie na...",Do negocjacji,Grafika 2D,0,Znika za 30 dni,"https://useme.com/pl/jobs/grafika-dwie-rozne-plus-zmiany-ujecia-i-kolorow-jednego-detalu-acznie-40-grafik,115660/",https://cdn.useme.com/1.20.6/images/avatar/empty-neutral.svg?v=1.20.6,,"Dzień dobry,
potrzebne grafiki dla odpływu łazienkowego , ujęcie na którym widać fragment łazienki z widoczną przestrzenią prysznicową i weeksponowanym odpływem liniowym (odpływ liniowy osadzony przy samej ścianie) oraz zbliżenie na odpływ.
Potrzebne dwie różne kolorystycznie i stylowo aranżacje- zgodne z aktualnymi trendami. Następnie w obu aranżacjach trzeba pokazać dwa lub trzy wzory odpływu liniowego (stalowy, z wklejoną płytką jak na podłodze oraz takie ujęcie, gdzie jednocześnie będzie widać obie opcję) Każdy wzór odpływu trzeba pokazać w 4 kolorach. Wychodzi 40 grafik. Moge przesłać to co już mamy dla innego odpływu oraz tabelę gdzie jest pokazane co, gdzie i w jakich kolorach pokazać. Grafiki muszą być estetyczne i przyciągające uwagę, ale też wyglądające naturalnie.
Dzień dobry,
potrzebne grafiki dla odpływu łazienkowego , ujęcie na którym widać fragment łazienki z widoczną przestrzenią prysznicową i weeksponowanym odpływem liniowym (odpływ liniowy osadzony przy samej ścianie) oraz zbliżenie na odpływ.
Potrzebne dwie różne kolorystycznie i stylowo aranżacje- zgodne z aktualnymi trendami. Następnie w obu aranżacjach trzeba pokazać dwa lub trzy wzory odpływu liniowego (stalowy, z wklejoną płytką jak na podłodze oraz takie ujęcie, gdzie jednocześnie będzie widać obie opcję) Każdy wzór odpływu trzeba pokazać w 4 kolorach. Wychodzi 40 grafik. Moge przesłać to co już mamy dla innego odpływu oraz tabelę gdzie jest pokazane co, gdzie i w jakich kolorach pokazać. Grafiki muszą być estetyczne i przyciągające uwagę, ale też wyglądające naturalnie.",
Marta ML,Wykonanie strony internetowej na WordPressie wg szablonu,"Zlecę wykonanie responsywnej strony internetowej opartej na WordPressie, zgodnie z dostarczonym szablonem graficznym (patrz załącznik).

Opis projektu: Strona będzie służyć do rejestracji na praktyki studenckie, z możliwością wyboru spośród...",Do negocjacji,Strony internetowe,5,Znika za 30 dni,"https://useme.com/pl/jobs/wykonanie-strony-internetowej-na-wordpressie-wg-szablonu,115656/",https://cdn.useme.com/1.20.6/images/avatar/empty-neutral.svg?v=1.20.6,,"Zlecę wykonanie responsywnej strony internetowej opartej na WordPressie, zgodnie z dostarczonym szablonem graficznym (patrz załącznik).
Opis projektu: Strona będzie służyć do rejestracji na praktyki studenckie, z możliwością wyboru spośród różnych programów praktyk. Dostarczamy całą treść na stronę. Wymagane jest zintegrowanie systemu płatności Stripe.
Zakres prac:
Instalacja i konfiguracja WordPressa
Wdrożenie projektu graficznego na podstawie załączonego szablonu
Utworzenie formularza rejestracyjnego z wyborem programu praktyk (będzie 6 opcji do wyboru)
Integracja z Stripe (płatność online)
Optymalizacja strony pod kątem urządzeń mobilnych
Wymagania:
Doświadczenie w pracy z WordPressem i integracją Stripe
Terminowe wykonanie
Proszę o przesyłanie portfolio oraz wyceny i terminu realizacji.
Zlecę wykonanie responsywnej strony internetowej opartej na WordPressie, zgodnie z dostarczonym szablonem graficznym (patrz załącznik).
Opis projektu: Strona będzie służyć do rejestracji na praktyki studenckie, z możliwością wyboru spośród różnych programów praktyk. Dostarczamy całą treść na stronę. Wymagane jest zintegrowanie systemu płatności Stripe.
Zakres prac:
Instalacja i konfiguracja WordPressa
Wdrożenie projektu graficznego na podstawie załączonego szablonu
Utworzenie formularza rejestracyjnego z wyborem programu praktyk (będzie 6 opcji do wyboru)
Integracja z Stripe (płatność online)
Optymalizacja strony pod kątem urządzeń mobilnych
Wymagania:
Doświadczenie w pracy z WordPressem i integracją Stripe
Terminowe wykonanie
Proszę o przesyłanie portfolio oraz wyceny i terminu realizacji.",
Nu Delta Sp. z o.o.,Animacja 2d dla firmy z własnym narzędziem AI,"Czego potrzebujemy?
- animacji 2D o długości 60–90 sekund
- prostego storyboardu i scenariusza (wspólnie przygotujemy zarys)
- lektora - narracji w języku polskim i angielskim (wspólnie przygotujemy treść)
- napisów w języku polskim i...","5000,00 PLN",Animacja,0,Znika za 30 dni,"https://useme.com/pl/jobs/animacja-2d-dla-firmy-z-wasnym-narzedziem-ai,115655/",https://cdn.useme.com/1.20.6/images/avatar/empty-neutral.svg?v=1.20.6,,"Czego potrzebujemy?
- animacji 2D o długości 60–90 sekund
- prostego storyboardu i scenariusza (wspólnie przygotujemy zarys)
- lektora - narracji w języku polskim i angielskim (wspólnie przygotujemy treść)
- napisów w języku polskim i angielskim
- wersji do umieszczenia na stronie www / social media
Kogo szukamy?
- osoby lub małej agencji z doświadczeniem w animacjach wyjaśniających
z portfolio. Szczególnie mile widziane przykłady w stylu nowoczesnego motion designu, dla rozwiązań software'owych / SaaS'ów
Termin:
- wstępna wersja: 2–3 tygodnie od rozpoczęcia współpracy
- finalna wersja: do uzgodnienia
Budżet:
zależnie od doświadczenia i zakresu prac, przewidujemy do 5000 zł netto
prosimy o oferty z linkiem do portfolio i wstępną wyceną
Czego potrzebujemy?
- animacji 2D o długości 60–90 sekund
- prostego storyboardu i scenariusza (wspólnie przygotujemy zarys)
- lektora - narracji w języku polskim i angielskim (wspólnie przygotujemy treść)
- napisów w języku polskim i angielskim
- wersji do umieszczenia na stronie www / social media
Kogo szukamy?
- osoby lub małej agencji z doświadczeniem w animacjach wyjaśniających
z portfolio. Szczególnie mile widziane przykłady w stylu nowoczesnego motion designu, dla rozwiązań software'owych / SaaS'ów
Termin:
- wstępna wersja: 2–3 tygodnie od rozpoczęcia współpracy
- finalna wersja: do uzgodnienia
Budżet:
zależnie od doświadczenia i zakresu prac, przewidujemy do 5000 zł netto
prosimy o oferty z linkiem do portfolio i wstępną wyceną",
billybong,Poprawa strony,"Poprawa strony na WP z naciskiem na SEO w zakresie:
a) dodać opisy stron meta,
b) dodać nagłówki h1 ze słowami kluczowymi.
c) dodać na górę klikalną wycenę darmową i telefon
d) poprawić i wydłużyć tytuły stron lub je skrócić w zależności od...",Do negocjacji,Obsługa stron internetowych,5,Znika za 30 dni,"https://useme.com/pl/jobs/poprawa-strony,115654/",https://cdn.useme.com/1.20.6/images/avatar/empty-neutral.svg?v=1.20.6,,"Poprawa strony na WP z naciskiem na SEO w zakresie:
a) dodać opisy stron meta,
b) dodać nagłówki h1 ze słowami kluczowymi.
c) dodać na górę klikalną wycenę darmową i telefon
d) poprawić i wydłużyć tytuły stron lub je skrócić w zależności od podstrony
e) popracować nad nagłówkami H1 na stronach (pod SEO)
wiecej szczegółow na priv
Poprawa strony na WP z naciskiem na SEO w zakresie:
a) dodać opisy stron meta,
b) dodać nagłówki h1 ze słowami kluczowymi.
c) dodać na górę klikalną wycenę darmową i telefon
d) poprawić i wydłużyć tytuły stron lub je skrócić w zależności od podstrony
e) popracować nad nagłówkami H1 na stronach (pod SEO)
wiecej szczegółow na priv",
MS,Konwersja PDF (rachunek TEMU) do Worda z zachowaniem układu,"Potrzebuję przekształcenia dwóch pierwszych stron rachunku PDF z platformy TEMU do edytowalnego pliku Word (DOCX), z zachowaniem:
• układu graficznego,
• czcionek, rozmiarów,
• rozmieszczenia treści.
Dane poufne zostały zamazane.
Zależy mi na...","40,00 PLN",Wirtualna asystentura,5,Znika za 30 dni,"https://useme.com/pl/jobs/konwersja-pdf-rachunek-temu-do-worda-z-zachowaniem-ukadu,115653/",https://cdn.useme.com/1.20.6/images/avatar/empty-neutral.svg?v=1.20.6,,"Potrzebuję przekształcenia dwóch pierwszych stron rachunku PDF z platformy TEMU do edytowalnego pliku Word (DOCX), z zachowaniem:
• układu graficznego,
• czcionek, rozmiarów,
• rozmieszczenia treści.
Dane poufne zostały zamazane.
Zależy mi na rzetelnym wykonaniu i poufności — proszę o zgłoszenia tylko od freelancerów, którzy przestrzegają bezpieczeństwa danych (RODO).
Budżet: 40 zł brutto
Termin: 1–2 dni
Potrzebuję przekształcenia dwóch pierwszych stron rachunku PDF z platformy TEMU do edytowalnego pliku Word (DOCX), z zachowaniem:
• układu graficznego,
• czcionek, rozmiarów,
• rozmieszczenia treści.
Dane poufne zostały zamazane.
Zależy mi na rzetelnym wykonaniu i poufności — proszę o zgłoszenia tylko od freelancerów, którzy przestrzegają bezpieczeństwa danych (RODO).
Budżet: 40 zł brutto
Termin: 1–2 dni",
ReginaSz,Obsługa konta Amazon,Szukam osoby do obsługi konta Amazon na rynku niemieckim,Do negocjacji,Obsługa sklepów internetowych,2,Znika za 30 dni,"https://useme.com/pl/jobs/obsuga-konta-amazon,115652/",https://cdn.useme.com/1.20.6/images/avatar/empty-neutral.svg?v=1.20.6,,"Szukam osoby do obsługi konta Amazon na rynku niemieckim
Szukam osoby do obsługi konta Amazon na rynku niemieckim",
JMFM SPÓŁKA Z OGRANICZONĄ ODP,Montaż wideo bez wideo,"Mam 3 scenariusze rolek reklamowych i to wszystko. Poszukuje osoby, która znajdzie i wstawi odpowiednie materiały wideo oraz lektor. 

Będę miał dużo więcej tego typu zleceń, także poszukuje osoby zaangażowanej nastawionej na dłuższa współprace....",Do negocjacji,Video,1,Znika za 30 dni,"https://useme.com/pl/jobs/montaz-wideo-bez-wideo,115651/",https://cdn.useme.com/1.20.6/images/avatar/empty-neutral.svg?v=1.20.6,,"Mam 3 scenariusze rolek reklamowych i to wszystko. Poszukuje osoby, która znajdzie i wstawi odpowiednie materiały wideo oraz lektor. 
Będę miał dużo więcej tego typu zleceń, także poszukuje osoby zaangażowanej nastawionej na dłuższa współprace. Wszelakie wykorzystanie AI miło widziane.
Scenariusze w załczniku
Mam 3 scenariusze rolek reklamowych i to wszystko. Poszukuje osoby, która znajdzie i wstawi odpowiednie materiały wideo oraz lektor.
Będę miał dużo więcej tego typu zleceń, także poszukuje osoby zaangażowanej nastawionej na dłuższa współprace. Wszelakie wykorzystanie AI miło widziane.
Scenariusze w załczniku",
